FMAP_INNB,VDPT_YR,PNU_LNM_CD,LGL_EMD_CD,LGL_EMD_NM,CHG_CFCD,CHG_CFNM,LNM,INTPR_CD,INTPR_NM,INVD_CFCD,INVD_CFNM,ITPINP_DE,RNHST_CD,RNHST_NM,MAPDMC_NO,ND_mean
"08388830","2020","4521032027101970024","45210320",죽산면,"01",유지,197-24 답,"01",논,"03",드론영상,"20201218",,,"35604093",9.82438025088377
"08455974","2020","4521032027101970020","45210320",죽산면,"02",변경,197-20천,"01",논,"03",드론영상,"20201218",,,"35604093",26.7465437518226
"08343227","2020","4521032027101970016","45210320",죽산면,"02",변경,197-16구,"02",밭,"03",드론영상,"20201218",,,"35604093",
"08343226","2020","4521032027101970016","45210320",죽산면,"02",변경,197-16구,"02",밭,"03",드론영상,"20201218",,,"35604093",11.9070501327515
"08388865","2020","4521032027101970001","45210320",죽산면,"01",유지,197-1답,"01",논,"03",드론영상,"20201218",,,"35604093",3.20700567245483
"08346137","2020","4521032027101960000","45210320",죽산면,"02",변경,196대,"02",밭,"03",드론영상,"20201218",,,"35604093",3.78186452388763
"08342796","2020","4521032027101950003","45210320",죽산면,"02",변경,195-3대,"02",밭,"03",드론영상,"20201218",,,"35604093",1.77529335021973
"08388850","2020","4521032027101950001","45210320",죽산면,"02",변경,195-1대,"02",밭,"03",드론영상,"20201218",,,"35604093",5.89607810974121
"08346136","2020","4521032027101950001","45210320",죽산면,"02",변경,195-1대,"02",밭,"03",드론영상,"20201218",,,"35604093",6.02571678161621
"08342795","2020","4521032027101940000","45210320",죽산면,"02",변경,194대,"02",밭,"03",드론영상,"20201218",,,"35604093",
"08386463","2020","4521032027101890001","45210320",죽산면,"02",변경,189-1대,"02",밭,"03",드론영상,"20201218",,,"35604093",2.60707393288612
"08386471","2020","4521032027101890001","45210320",죽산면,"02",변경,189-1대,"02",밭,"03",드론영상,"20201218",,,"35604093",28.3856032689412
"08386467","2020","4521032027101880003","45210320",죽산면,"02",변경,188-3대,"02",밭,"03",드론영상,"20201218",,,"35604093",3.18010743459066
"08386469","2020","4521032027101880001","45210320",죽산면,"02",변경,188-1대,"02",밭,"03",드론영상,"20201218",,,"35604093",12.4507570266724
"08386476","2020","4521032027101870001","45210320",죽산면,"02",변경,187-1대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",27.916844367981
"08386473","2020","4521032027101870001","45210320",죽산면,"02",변경,187-1대,"02",밭,"03",드론영상,"20201218",,,"35604093",26.6629567146301
"08388866","2020","4521032027101860002","45210320",죽산면,"02",변경,186-2답,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",31.5156660079956
"08388838","2020","4521032027101850006","45210320",죽산면,"02",변경,185-6대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",3.11299467086792
"08388849","2020","4521032027101850005","45210320",죽산면,"02",변경,185-5대,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",1.9092892408371
"08386465","2020","4521032027101850004","45210320",죽산면,"02",변경,185-4대,"02",밭,"03",드론영상,"20201218",,,"35604093",1.59704285860062
"08386464","2020","4521032027101850004","45210320",죽산면,"02",변경,185-4대,"04",시설,"03",드론영상,"20201218","02",형상,"35604093",1.57694160938263
"08386468","2020","4521032027101850004","45210320",죽산면,"02",변경,185-4대,"02",밭,"03",드론영상,"20201218",,,"35604093",1.57694160938263
"08388846","2020","4521032027101850002","45210320",죽산면,"02",변경,185-2답,"02",밭,"03",드론영상,"20201218","02",형상,"35604093",2.77024173736572
"08388803","2020","4521032027101480008","45210320",죽산면,"02",변경,148-8대,"02",밭,"03",드론영상,"20201218",,,"35604093",3.36519932746887
"08386457","2020","4521032027101480008","45210320",죽산면,"02",변경,148-8대,"02",밭,"03",드론영상,"20201218",,,"35604093",5.56001567840576
"08388812","2020","4521032027101480002","45210320",죽산면,"01",유지,148-2답,"01",논,"03",드론영상,"20201218",,,"35604093",7.48755793571472
"08388815","2020","4521032027101460002","45210320",죽산면,"02",변경,146-2대,"02",밭,"03",드론영상,"20201218",,,"35604093",15.3043224811554
"08388814","2020","4521032027101460002","45210320",죽산면,"02",변경,146-2대,"02",밭,"03",드론영상,"20201218",,,"35604093",6.63865343729655
"08391535","2020","4521032026109940000","45210320",죽산면,"01",유지,994 답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",45.1338785812259
"08391489","2020","4521032026109930003","45210320",죽산면,"01",유지,993-3 답,"01",논,"03",드론영상,"20201218",,,"35604093",35.3549724519253
"08391505","2020","4521032026109930002","45210320",죽산면,"01",유지,993-2 답,"01",논,"03",드론영상,"20201218",,,"35604093",16.9479446940952
"08391521","2020","4521032026109930001","45210320",죽산면,"01",유지,993-1 답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",57.231592502594
"08386189","2020","4521032026109780000","45210320",죽산면,"02",변경,978도,"02",밭,"03",드론영상,"20201218",,,"35604093",3.05617547035217
"08368871","2020","4521032026109780000","45210320",죽산면,"02",변경,978도,"02",밭,"03",드론영상,"20201218",,,"35604093",0.941933423280716
"08390910","2020","4521032026109630000","45210320",죽산면,"02",변경,963구,"02",밭,"03",드론영상,"20201218",,,"35604092",63.7410235404968
"08393643","2020","4521032026109630000","45210320",죽산면,"02",변경,963구,"02",밭,"03",드론영상,"20201218",,,"35604092",37.3098211288452
"08390898","2020","4521032026109630000","45210320",죽산면,"02",변경,963구,"02",밭,"03",드론영상,"20201218",,,"35604092",40.9709542592367
"08390906","2020","4521032026109630000","45210320",죽산면,"02",변경,963구,"02",밭,"03",드론영상,"20201218",,,"35604092",6.18030657087054
"08390908","2020","4521032026109630000","45210320",죽산면,"02",변경,963구,"02",밭,"03",드론영상,"20201218",,,"35604092",39.8974262237549
"08393686","2020","4521032026109630000","45210320",죽산면,"02",변경,963구,"02",밭,"03",드론영상,"20201218",,,"35604092",53.4667619977679
"08393650","2020","4521032026109630000","45210320",죽산면,"02",변경,963구,"02",밭,"03",드론영상,"20201218",,,"35604092",51.3363421758016
"08390901","2020","4521032026109630000","45210320",죽산면,"02",변경,963구,"02",밭,"03",드론영상,"20201218",,,"35604092",37.5588539441427
"08390904","2020","4521032026109630000","45210320",죽산면,"02",변경,963구,"02",밭,"03",드론영상,"20201218",,,"35604092",10.261990904808
"08390893","2020","4521032026109630000","45210320",죽산면,"02",변경,963구,"02",밭,"03",드론영상,"20201218",,,"35604092",27.8922443389893
"08391805","2020","4521032026109390005","45210320",죽산면,"01",유지,939-5답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",22.0161644816399
"08391816","2020","4521032026109390004","45210320",죽산면,"01",유지,939-4답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",57.4594265864446
"08391822","2020","4521032026109390003","45210320",죽산면,"01",유지,939-3답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",56.6849514908261
"08391827","2020","4521032026109390002","45210320",죽산면,"01",유지,939-2답,"01",논,"03",드론영상,"20201218",,,"35604093",56.9114744113042
"08391839","2020","4521032026109390001","45210320",죽산면,"01",유지,939-1답,"01",논,"03",드론영상,"20201218",,,"35604093",25.0003575247687
"08391772","2020","4521032026109380006","45210320",죽산면,"01",유지,938-6답,"01",논,"03",드론영상,"20201218",,,"35604093",12.3366474495378
"08391786","2020","4521032026109380005","45210320",죽산면,"01",유지,938-5답,"01",논,"03",드론영상,"20201218",,,"35604093",2.58757129770059
"08391801","2020","4521032026109380004","45210320",죽산면,"01",유지,938-4답,"01",논,"03",드론영상,"20201218",,,"35604093",4.17938402175903
"08391815","2020","4521032026109380003","45210320",죽산면,"01",유지,938-3답,"01",논,"03",드론영상,"20201218",,,"35604093",16.7084094796862
"08391823","2020","4521032026109380002","45210320",죽산면,"01",유지,938-2답,"01",논,"03",드론영상,"20201218",,,"35604093",64.5994401853912
"08391834","2020","4521032026109380001","45210320",죽산면,"01",유지,938-1답,"01",논,"03",드론영상,"20201218",,,"35604093",40.432762970527
"08391725","2020","4521032026109370009","45210320",죽산면,"01",유지,937-9답,"01",논,"03",드론영상,"20201218",,,"35604093",24.7700847073605
"08391748","2020","4521032026109370008","45210320",죽산면,"01",유지,937-8답,"01",논,"03",드론영상,"20201218",,,"35604093",63.1539206796763
"08391763","2020","4521032026109370006","45210320",죽산면,"01",유지,937-6답,"01",논,"03",드론영상,"20201218",,,"35604093",47.3251434135437
"08391781","2020","4521032026109370005","45210320",죽산면,"01",유지,937-5답,"01",논,"03",드론영상,"20201218",,,"35604093",11.9150617964127
"08391793","2020","4521032026109370004","45210320",죽산면,"01",유지,937-4답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",65.1682813605484
"08391807","2020","4521032026109370003","45210320",죽산면,"01",유지,937-3답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",58.6401642894745
"08391819","2020","4521032026109370002","45210320",죽산면,"01",유지,937-2답,"01",논,"03",드론영상,"20201218","02",형상,"35604093",59.97616771698
